age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,study_to_social_ratio,total_distraction_hours,wellbeing_index,performance_label
21,1.0,4.5,3.4,3.3,1,93.1,7.1,2,6,0,2,10,0,94.7,0.6706,6.7,2.31,Excellent (≥80)
17,1.0,4.1,2.3,2.6,1,76.5,5.1,1,3,1,1,9,0,77.6,0.835,4.9,1.71,Good (65-79)
23,1.0,3.2,1.7,2.1,0,80.8,5.2,2,3,0,0,4,1,68.6,0.8399,3.8,1.22,Good (65-79)
18,0.0,3.3,4.1,0.7,0,80.5,5.7,0,0,2,2,8,0,69.6,0.6861,4.8,1.37,Good (65-79)
20,1.0,3.6,4.2,0.9,0,67.0,5.4,2,4,1,1,8,0,66.5,0.7045,5.1,1.74,Good (65-79)
17,1.0,3.3,1.8,3.2,0,81.7,5.8,0,0,2,2,2,0,62.2,0.6587,5.0,0.78,Average (50-64)
20,0.0,4.9,0.3,2.7,1,92.3,6.2,2,0,1,0,6,0,82.1,1.6279,3.0,1.22,Excellent (≥80)
22,1.0,6.8,3.7,1.8,0,72.3,7.5,0,6,2,1,5,0,100.0,1.2341,5.5,1.85,Excellent (≥80)
18,0.0,2.7,1.7,1.3,0,95.5,6.1,0,2,1,2,2,1,59.7,0.897,3.0,1.01,Average (50-64)
18,0.0,1.4,3.4,0.0,0,89.9,4.6,1,0,0,0,10,1,55.1,0.4106,3.4,1.46,Average (50-64)
17,1.0,3.4,0.1,0.6,0,77.7,7.9,1,1,0,1,4,1,77.1,4.7887,0.7,1.29,Good (65-79)
18,0.0,7.4,3.6,3.9,0,83.6,5.5,1,3,0,1,7,1,97.7,0.9854,7.5,1.55,Excellent (≥80)
21,0.0,2.3,1.0,0.4,0,100.0,6.4,1,6,0,2,1,0,66.9,1.6312,1.4,1.34,Good (65-79)
18,0.0,6.0,3.4,2.0,1,92.3,7.0,1,0,1,2,9,1,99.9,1.1091,5.4,1.6,Excellent (≥80)
20,1.0,6.0,2.5,2.9,0,85.1,6.7,0,5,1,1,10,1,100.0,1.1091,5.4,2.17,Excellent (≥80)
20,0.0,2.7,1.4,0.4,0,82.6,7.8,1,1,1,0,1,0,57.2,1.4917,1.8,0.98,Average (50-64)
23,0.0,4.4,2.0,2.0,1,85.8,7.1,2,4,2,2,5,0,77.3,1.0973,4.0,1.61,Good (65-79)
20,1.0,5.9,3.3,2.8,1,79.9,5.5,2,3,2,1,7,0,91.6,0.9656,6.1,1.55,Excellent (≥80)
23,1.0,2.9,2.6,1.8,0,64.0,9.1,2,6,0,2,8,0,70.7,0.6576,4.4,2.31,Good (65-79)
20,,3.2,3.2,5.0,0,100.0,6.7,2,5,0,0,2,0,57.6,0.3898,8.2,1.37,Average (50-64)
21,0.0,2.6,4.9,0.0,1,86.6,6.3,1,6,0,0,4,0,60.2,0.5295,4.9,1.63,Average (50-64)
24,1.0,2.0,0.6,3.0,0,89.0,7.7,0,6,0,2,2,1,50.5,0.554,3.6,1.57,Average (50-64)
23,0.0,2.5,4.4,1.6,0,84.4,6.8,1,5,1,1,4,0,51.3,0.416,6.0,1.58,Average (50-64)
19,1.0,1.7,2.6,2.6,0,77.6,7.0,2,4,1,2,6,0,53.5,0.3263,5.2,1.7,Average (50-64)
22,1.0,3.6,1.4,2.3,0,83.1,9.5,2,5,1,0,6,0,79.2,0.9704,3.7,2.05,Good (65-79)
17,1.0,2.3,0.9,1.0,0,69.0,6.2,1,1,2,1,2,1,47.2,1.2042,1.9,0.92,Low (<50)
20,1.0,3.9,2.3,2.1,0,100.0,6.1,0,6,1,2,4,0,73.4,0.8844,4.4,1.61,Good (65-79)
18,1.0,1.2,3.6,0.0,0,72.7,6.6,0,4,0,1,4,1,41.1,0.3324,3.6,1.46,Low (<50)
24,1.0,4.0,2.3,2.5,0,74.7,7.8,1,6,1,2,1,0,77.8,0.8316,4.8,1.48,Good (65-79)
20,0.0,4.8,4.3,2.1,0,80.6,4.7,1,5,0,1,2,0,63.4,0.7488,6.4,1.17,Average (50-64)
18,1.0,0.5,0.8,2.5,1,97.9,4.1,0,4,0,2,3,0,43.9,0.1511,3.3,1.11,Low (<50)
22,1.0,4.1,2.5,3.0,0,85.1,5.8,2,4,0,2,5,0,70.2,0.7441,5.5,1.48,Good (65-79)
22,0.0,5.3,1.0,2.2,0,72.6,4.5,1,0,0,1,8,0,81.3,1.6511,3.2,1.25,Excellent (≥80)
22,1.0,1.7,2.9,2.0,0,97.5,6.0,2,0,0,2,6,0,50.2,0.3462,4.9,1.2,Average (50-64)
18,0.0,6.0,3.6,0.8,0,92.3,7.1,2,0,0,2,3,0,87.9,1.3605,4.4,1.01,Excellent (≥80)
20,1.0,4.1,2.0,1.0,0,90.4,5.4,2,5,1,1,6,0,80.9,1.3621,3.0,1.64,Excellent (≥80)
22,1.0,2.4,0.0,3.1,0,92.2,4.8,2,3,1,2,7,1,63.9,0.7717,3.1,1.48,Average (50-64)
21,1.0,3.4,2.7,3.4,0,100.0,6.6,2,1,0,2,6,0,65.6,0.5565,6.1,1.36,Good (65-79)
23,1.0,4.3,3.0,1.5,0,100.0,7.5,2,5,0,1,10,1,93.2,0.9534,4.5,2.25,Excellent (≥80)
18,1.0,3.6,3.0,1.9,0,78.1,4.5,2,6,1,1,6,0,74.0,0.7332,4.9,1.65,Good (65-79)
18,1.0,4.3,4.0,0.8,0,100.0,7.5,1,0,0,1,1,0,60.8,0.894,4.8,0.85,Average (50-64)
20,1.0,2.1,1.2,3.1,0,88.8,7.5,2,4,2,1,3,0,50.4,0.4872,4.3,1.45,Average (50-64)
18,1.0,3.8,3.3,2.5,0,90.0,7.6,2,5,1,2,7,0,74.3,0.654,5.8,1.96,Good (65-79)
18,1.0,1.4,3.9,3.9,1,68.1,8.0,2,4,0,1,4,1,32.8,0.1793,7.8,1.6,Low (<50)
22,1.0,3.3,0.4,0.8,0,83.3,9.1,2,6,0,2,4,1,82.3,2.7273,1.2,1.91,Excellent (≥80)
20,1.0,2.1,2.9,1.4,0,76.9,6.1,1,4,0,1,7,0,60.4,0.4872,4.3,1.71,Average (50-64)
22,0.0,2.4,1.9,2.1,0,93.3,6.6,0,4,0,1,9,1,60.0,0.5985,4.0,1.96,Average (50-64)
23,0.0,5.4,2.4,2.5,0,95.7,6.0,1,2,0,2,2,0,77.5,1.0998,4.9,1.0,Good (65-79)
24,1.0,5.1,2.9,1.6,0,64.3,6.5,1,3,1,1,9,1,86.5,1.1308,4.5,1.85,Excellent (≥80)
23,0.0,4.4,1.9,0.8,0,84.8,8.3,2,1,0,1,3,0,76.9,1.6236,2.7,1.23,Good (65-79)
24,0.0,1.9,1.7,2.8,0,96.2,4.9,1,1,1,0,6,1,43.9,0.4213,4.5,1.19,Low (<50)
22,1.0,3.0,2.5,2.6,0,83.1,5.5,1,0,1,1,4,0,51.3,0.5871,5.1,0.95,Average (50-64)
23,0.0,5.3,1.2,0.8,0,92.3,8.2,1,2,0,1,1,0,83.3,2.6368,2.0,1.12,Excellent (≥80)
20,0.0,3.7,1.2,3.3,0,88.5,7.7,0,5,0,2,9,0,82.7,0.8204,4.5,2.17,Excellent (≥80)
17,1.0,7.0,3.3,3.1,0,88.4,6.1,2,5,0,1,6,1,94.8,1.092,6.4,1.71,Excellent (≥80)
22,1.0,4.1,1.1,1.9,0,82.3,7.5,2,1,0,2,8,0,80.8,1.3621,3.0,1.65,Excellent (≥80)
24,0.0,3.8,3.3,1.9,0,72.8,6.9,0,3,1,2,2,1,58.3,0.7294,5.2,1.19,Average (50-64)
21,0.0,3.0,3.1,2.4,1,73.8,8.3,1,4,0,1,7,0,66.3,0.5445,5.5,1.93,Good (65-79)
24,1.0,3.7,0.4,0.9,0,92.1,6.6,1,6,1,1,6,0,87.9,2.8244,1.3,1.86,Excellent (≥80)
21,1.0,3.3,1.7,1.8,0,85.2,7.7,0,0,0,2,2,0,60.5,0.9402,3.5,0.97,Average (50-64)
18,1.0,4.6,3.9,0.0,0,83.6,9.7,0,3,0,2,2,0,84.8,1.1765,3.9,1.47,Excellent (≥80)
23,0.0,4.9,1.3,2.8,0,80.8,7.2,2,1,1,1,4,0,77.0,1.1922,4.1,1.22,Good (65-79)
21,0.0,2.3,1.9,0.1,0,81.9,6.6,1,2,1,1,4,0,61.7,1.1443,2.0,1.26,Average (50-64)
24,1.0,1.5,3.1,3.5,0,95.5,7.4,1,0,0,1,3,0,44.0,0.2269,6.6,1.04,Low (<50)
18,1.0,0.7,3.4,1.4,1,81.6,6.1,0,1,0,0,8,0,42.4,0.1455,4.8,1.51,Low (<50)
17,0.0,4.3,2.2,1.6,0,71.6,9.4,2,5,1,2,7,0,88.0,1.1286,3.8,2.14,Excellent (≥80)
20,1.0,1.8,1.8,1.1,0,92.4,6.7,2,0,0,2,2,0,48.7,0.6186,2.9,0.87,Low (<50)
20,1.0,0.3,4.2,1.5,0,83.0,6.2,2,1,0,1,3,1,29.898,0.0525,5.7,1.02,Low (<50)
20,0.0,4.1,4.6,3.4,0,85.3,5.5,0,5,1,2,10,0,81.6,0.5119,8.0,2.05,Excellent (≥80)
21,0.0,7.2,3.7,0.0,0,100.0,7.8,2,6,0,2,9,0,100.0,1.9407,3.7,2.28,Excellent (≥80)
17,0.0,3.5,2.6,3.2,1,84.8,7.5,1,5,1,1,5,1,74.0,0.6024,5.8,1.75,Good (65-79)
21,0.0,4.8,1.5,2.2,0,87.9,5.9,1,4,1,0,2,1,78.4,1.2938,3.7,1.19,Good (65-79)
23,1.0,3.6,1.5,0.5,0,73.2,7.2,1,2,1,2,3,0,70.7,1.791,2.0,1.22,Good (65-79)
21,1.0,3.4,3.1,0.6,0,82.8,4.7,1,4,1,2,8,0,74.3,0.9164,3.7,1.67,Good (65-79)
17,0.0,4.9,3.0,3.6,0,91.1,6.7,2,1,1,2,4,0,67.6,0.7413,6.6,1.17,Good (65-79)
17,1.0,3.1,4.2,0.8,0,69.4,7.0,2,6,1,0,2,0,64.7,0.6188,5.0,1.5,Average (50-64)
23,1.0,3.9,3.3,0.5,0,87.0,8.5,1,3,2,1,2,0,64.1,1.0236,3.8,1.35,Average (50-64)
17,1.0,4.0,0.7,3.1,0,86.0,5.6,2,6,0,0,6,0,83.5,1.0499,3.8,1.76,Excellent (≥80)
24,1.0,2.5,3.8,2.2,0,85.4,5.0,2,6,0,2,8,0,63.4,0.416,6.0,1.9,Average (50-64)
17,1.0,5.0,1.3,0.8,0,95.4,5.4,2,6,1,2,7,0,96.2,2.3697,2.1,1.84,Excellent (≥80)
20,1.0,3.2,2.0,2.0,0,88.3,4.9,1,4,1,0,4,1,65.4,0.798,4.0,1.29,Good (65-79)
24,1.0,2.4,2.8,0.7,0,99.8,8.1,1,3,0,2,2,0,62.0,0.6838,3.5,1.31,Average (50-64)
24,1.0,4.3,4.9,3.0,0,75.1,8.4,1,5,2,2,9,1,74.0,0.5436,7.9,2.24,Good (65-79)
23,0.0,2.2,6.2,3.0,0,86.4,6.9,2,1,0,2,4,0,46.7,0.2389,9.2,1.19,Low (<50)
19,0.0,3.5,3.2,2.4,0,85.8,8.0,0,2,1,2,9,0,75.5,0.6239,5.6,1.9,Good (65-79)
19,0.0,3.5,2.3,2.2,0,74.3,6.7,1,3,1,0,5,1,78.1,0.7761,4.5,1.47,Good (65-79)
17,0.0,5.1,3.1,3.7,0,94.6,6.4,1,1,2,2,7,0,85.2,0.7489,6.8,1.44,Excellent (≥80)
24,0.0,4.2,3.6,1.8,1,100.0,6.1,1,3,0,0,5,0,75.4,0.7763,5.4,1.41,Good (65-79)
19,1.0,3.5,2.1,0.5,1,84.8,6.1,2,4,1,1,2,0,64.2,1.341,2.6,1.21,Average (50-64)
19,0.0,4.7,4.7,2.3,0,90.1,4.6,2,1,0,2,6,0,69.7,0.6705,7.0,1.16,Good (65-79)
17,0.0,5.6,2.8,4.1,0,85.8,6.8,2,4,0,2,7,0,90.3,0.8104,6.9,1.78,Excellent (≥80)
19,0.0,4.3,3.1,0.7,0,77.9,6.5,2,0,0,1,6,0,81.4,1.1286,3.8,1.25,Excellent (≥80)
21,1.0,3.5,3.3,1.4,0,66.8,7.4,1,1,1,2,3,0,65.0,0.7431,4.7,1.14,Good (65-79)
18,1.0,1.5,3.0,2.3,0,77.9,6.6,1,3,0,2,10,0,57.3,0.2825,5.3,1.96,Average (50-64)
23,1.0,1.9,3.5,1.7,1,71.1,6.3,1,0,0,2,8,0,57.7,0.3647,5.2,1.43,Average (50-64)
18,1.0,3.0,1.8,0.7,0,100.0,5.5,0,4,1,0,3,0,56.7,1.1952,2.5,1.25,Average (50-64)
17,0.0,2.6,1.8,3.0,0,83.8,6.6,1,4,1,2,5,1,62.3,0.5405,4.8,1.56,Average (50-64)
20,0.0,3.2,1.2,4.4,0,81.5,7.4,2,3,1,1,9,0,77.9,0.5704,5.6,1.94,Good (65-79)
23,1.0,3.6,3.0,2.0,0,93.9,5.1,1,0,2,1,5,0,65.2,0.7186,5.0,1.01,Good (65-79)
17,,4.3,3.4,0.8,0,73.8,6.6,2,6,0,1,7,0,76.8,1.0214,4.2,1.96,Good (65-79)
24,0.0,3.4,3.0,0.1,0,77.3,6.8,1,5,2,1,7,0,83.8,1.0932,3.1,1.88,Excellent (≥80)
20,1.0,4.2,4.5,2.1,0,85.7,5.6,0,2,2,2,5,0,70.6,0.6354,6.6,1.26,Good (65-79)
18,1.0,3.6,2.5,3.0,0,95.3,5.8,0,3,0,1,2,1,63.1,0.6534,5.5,1.08,Average (50-64)
17,1.0,0.5,3.3,2.3,0,90.0,6.8,1,4,0,2,5,0,39.0,0.0891,5.6,1.58,Low (<50)
24,1.0,2.1,1.2,1.8,0,87.5,5.1,1,1,0,1,7,0,66.7,0.6977,3.0,1.31,Good (65-79)
23,1.0,3.3,2.0,1.2,1,85.8,6.9,0,0,0,2,7,0,72.2,1.028,3.2,1.39,Good (65-79)
23,1.0,1.7,3.3,0.6,0,89.0,5.4,1,5,1,2,4,1,50.1,0.4348,3.9,1.44,Average (50-64)
22,1.0,4.4,3.5,2.7,1,87.0,7.8,1,2,1,2,1,0,62.4,0.7085,6.2,1.08,Average (50-64)
24,1.0,5.8,2.1,2.8,0,74.7,9.3,1,1,1,2,6,0,96.6,1.1813,4.9,1.63,Excellent (≥80)
21,0.0,5.3,2.4,0.1,0,85.5,5.5,2,0,1,2,3,1,85.8,2.1116,2.5,0.85,Excellent (≥80)
19,1.0,3.2,0.7,3.5,0,74.3,7.1,2,5,0,2,5,0,68.3,0.7601,4.2,1.71,Good (65-79)
20,0.0,5.7,2.1,2.4,0,85.8,5.6,1,3,2,2,4,1,83.8,1.2639,4.5,1.26,Excellent (≥80)
24,1.0,3.7,3.6,3.3,1,80.2,7.7,2,5,0,0,2,0,69.3,0.5355,6.9,1.47,Good (65-79)
22,,3.0,3.2,0.3,0,100.0,5.0,2,3,2,2,7,0,65.3,0.8547,3.5,1.5,Good (65-79)
19,1.0,2.6,3.1,0.3,0,84.6,7.1,2,6,0,1,5,1,77.5,0.7625,3.4,1.81,Good (65-79)
19,1.0,3.0,2.6,1.6,0,71.0,5.5,1,0,2,1,7,1,55.0,0.7126,4.2,1.25,Average (50-64)
17,,2.9,2.5,2.4,1,83.7,6.3,0,5,0,2,9,0,65.2,0.5906,4.9,2.03,Good (65-79)
19,0.0,3.8,1.7,3.8,0,90.2,5.3,2,2,0,1,4,0,58.1,0.6897,5.5,1.13,Average (50-64)
21,0.0,3.7,3.3,2.6,1,100.0,7.5,1,5,0,2,5,0,69.2,0.6261,5.9,1.75,Good (65-79)
23,1.0,3.5,3.0,1.5,1,79.1,5.5,2,0,1,1,9,0,67.4,0.7761,4.5,1.45,Good (65-79)
22,1.0,4.2,3.1,0.7,0,69.2,7.2,2,1,2,0,10,0,79.9,1.1024,3.8,1.82,Good (65-79)
19,0.0,5.3,1.9,3.2,0,93.2,6.1,1,1,0,1,4,1,85.7,1.0372,5.1,1.11,Excellent (≥80)
17,0.0,4.9,0.0,0.7,0,71.2,6.4,1,5,2,0,5,0,96.2,6.9014,0.7,1.64,Excellent (≥80)
21,0.0,1.3,3.8,3.6,1,80.6,6.7,1,5,1,2,5,0,40.4,0.1754,7.4,1.67,Low (<50)
18,0.0,0.0,1.9,1.5,0,82.4,5.6,1,3,1,1,8,0,55.2,0.0,3.4,1.66,Average (50-64)
23,1.0,4.9,1.5,3.5,0,84.3,6.8,1,0,1,1,4,0,73.8,0.978,5.0,1.08,Good (65-79)
23,0.0,1.4,3.3,2.5,0,91.9,8.3,1,3,0,0,4,1,46.5,0.241,5.8,1.53,Low (<50)
22,1.0,3.2,2.0,1.6,0,78.2,5.6,1,2,0,1,7,1,60.5,0.8864,3.6,1.46,Average (50-64)
23,1.0,1.7,3.8,1.2,0,82.3,7.9,0,6,2,2,5,0,55.4,0.3393,5.0,1.89,Average (50-64)
19,1.0,0.8,3.2,1.4,0,84.9,8.3,2,1,2,1,6,0,45.1,0.1735,4.6,1.53,Low (<50)
17,0.0,4.3,3.3,2.3,0,86.5,5.5,0,4,2,2,6,0,69.4,0.7665,5.6,1.55,Good (65-79)
23,1.0,4.6,0.9,1.9,0,86.0,4.8,2,4,2,2,6,0,81.3,1.637,2.8,1.48,Excellent (≥80)
23,1.0,2.6,4.0,1.1,0,89.4,6.9,2,0,0,2,10,0,66.6,0.5088,5.1,1.69,Good (65-79)
18,0.0,0.0,2.8,1.6,0,93.4,5.8,1,0,1,2,5,0,29.898,0.0,4.4,1.08,Low (<50)
18,1.0,2.7,2.1,1.9,0,88.9,8.7,2,4,0,0,5,0,64.5,0.6733,4.0,1.77,Average (50-64)
20,0.0,4.1,2.7,0.0,0,89.5,6.5,1,0,2,1,9,1,87.1,1.5129,2.7,1.55,Excellent (≥80)
21,1.0,1.3,0.4,2.3,1,69.2,5.5,2,1,0,2,8,1,42.2,0.4797,2.7,1.45,Low (<50)
19,0.0,3.8,3.0,0.7,0,85.5,5.1,1,2,1,2,4,0,61.6,1.0243,3.7,1.11,Average (50-64)
23,0.0,3.5,1.3,0.5,0,89.8,7.8,1,2,1,2,7,0,81.9,1.9337,1.8,1.68,Excellent (≥80)
24,1.0,4.4,0.9,0.0,0,92.3,5.8,1,3,0,2,8,0,96.5,4.8352,0.9,1.68,Excellent (≥80)
23,1.0,3.7,0.7,0.0,0,78.1,6.6,1,1,0,1,9,0,85.1,5.2113,0.7,1.66,Excellent (≥80)
17,1.0,2.0,3.8,0.3,0,78.4,7.6,1,6,2,0,5,0,58.5,0.4866,4.1,1.86,Average (50-64)
20,1.0,5.3,1.7,1.0,0,79.3,5.9,1,0,1,2,3,1,78.4,1.9557,2.7,0.89,Good (65-79)
21,,3.3,4.3,3.9,0,90.4,6.4,1,0,0,2,4,0,56.4,0.4019,8.2,1.04,Average (50-64)
24,1.0,3.5,1.9,1.2,0,95.3,6.5,0,6,1,1,10,1,92.6,1.1254,3.1,2.25,Excellent (≥80)
20,0.0,2.1,0.5,2.0,0,80.9,7.3,0,3,1,2,6,1,62.3,0.8367,2.5,1.63,Average (50-64)
22,1.0,2.8,1.2,2.2,1,94.1,7.2,1,3,0,1,10,0,75.8,0.8211,3.4,2.02,Good (65-79)
21,0.0,2.2,4.0,1.9,0,86.2,6.2,0,0,0,1,5,1,47.1,0.3723,5.9,1.12,Low (<50)
23,0.0,3.2,2.3,1.7,1,83.8,6.6,0,0,2,2,9,0,66.3,0.798,4.0,1.56,Good (65-79)
